Username,Title,Rating,overall_rating,story,acting,music,rewatch
PrincessKayla,Bring the Soul: The Movie,9.3,10,10,10,10,10
simi_24,Bring the Soul: The Movie,9.3,10,10,10,9.5,10
coffwalk Yun,Bring the Soul: The Movie,9.3,10,10,10,10,10
RainyDayCuppaT,Bring the Soul: The Movie,9.3,10,10,10,10,10
Mei,Nana Tour with Seventeen,9.3,10,10,10,10,10
jane,Nana Tour with Seventeen,9.3,10,10,10,10,10
cejj,Nana Tour with Seventeen,9.3,10,10,10,10,10
mkk,Nana Tour with Seventeen,9.3,10,10,10,10,9.5
IheartBoo,Nana Tour with Seventeen,9.3,10,10,10,10,10
toy,Nana Tour with Seventeen,9.3,10,10,10,10,10
vitoria,Nana Tour with Seventeen,9.3,10,10,10,10,10
Sana,BTS in the Soop Season 2,9.3,10,10,10,10,10
mycloverformrdarcy,SUGA: Road to D-DAY,9.3,10,10,10,10,8.0
Fernandys,SUGA: Road to D-DAY,9.3,10,10,10,10,10
Vixen96,SUGA: Road to D-DAY,9.3,7.0,7.0,7.0,7.0,7.0
Lunna,SUGA: Road to D-DAY,9.3,8.5,8.5,10,10,7.0
jungkook337,Run BTS! 2022 Special Episode: Fly BTS Fly,9.3,10,10,10,10,9.0
tuba_???,Run BTS! 2022 Special Episode: Fly BTS Fly,9.3,10,10,10,10,9.0
michelleoc,BTS Monuments: Beyond the Star,9.2,8.0,10,10,10,4.5
Vixen96,BTS Monuments: Beyond the Star,9.2,6.0,6.0,6.0,6.0,6.0
tatamateen,Better Days,9.2,9.5,10,10,9.0,10
Hwayii,Better Days,9.2,10,10,10,10,10
WhiteRose,Better Days,9.2,10,9.5,10,10,9.5
Bubbletea Reviews,Better Days,9.2,8.0,8.0,8.0,8.5,7.5
JoanneSmith,Better Days,9.2,10,10,10,8.0,10
Suzy,Better Days,9.2,10,9.5,10,9.0,9.5
Lolita,Better Days,9.2,10,10,10,10,10
Normie92,Better Days,9.2,10,10,10,10,10
lena,Better Days,9.2,9.0,9.0,10,8.5,7.0
minarii,Better Days,9.2,9.0,9.5,10,8.0,5.0
Elsie,Better Days,9.2,10,10,10,10,10
Becky,Better Days,9.2,10,10,10,8.5,9.5
MinJossy,Better Days,9.2,10,10,10,10,10
Bengongzhe,Better Days,9.2,7.5,7.5,8.0,5.0,7.0
