PapayaSammy on twitch,Drama Festa: Hello Dracula,8.1,10,10,10,10,10
Ciepao,Drama Festa: Hello Dracula,8.1,10,10,10,10,10
Retrojuicepop,The Backpacker Chef Season 2,8.1,7.0,7.0,6.0,7.0,5.0
Lea Estiller,Dragon Zakura Season 2,8.1,7.5,8.0,8.0,7.5,7.0
Chito-chan,Dragon Zakura Season 2,8.1,8.5,8.5,8.0,8.0,6.0
FeKimi,Dragon Zakura Season 2,8.1,7.5,8.0,8.0,7.5,7.5
NerdyGeedY,Dragon Zakura Season 2,8.1,9.0,10,8.0,7.5,8.0
best24,Dragon Zakura Season 2,8.1,8.0,7.5,8.0,7.0,5.5
Pomponia,Dragon Zakura Season 2,8.1,3.0,3.0,7.0,1.0,1.0
BrightestStar,Dragon Zakura Season 2,8.1,6.0,6.5,8.0,4.0,6.0
angelVSdevil,Once upon a Time in Lingjian Mountain,8.1,7.5,6.5,8.0,8.0,7.0
Kotori,Once upon a Time in Lingjian Mountain,8.1,9.0,9.0,9.5,7.0,10
KW McCabe,Once upon a Time in Lingjian Mountain,8.1,9.0,8.0,9.0,10,8.0
Lynn,Once upon a Time in Lingjian Mountain,8.1,6.5,6.0,6.0,8.5,6.0
Hermine Voltaire,Once upon a Time in Lingjian Mountain,8.1,10,10,10,10,10
Becky,Once upon a Time in Lingjian Mountain,8.1,10,10,10,9.0,10
Mai Shoua Her,Once upon a Time in Lingjian Mountain,8.1,10,10,10,10,10
ladywuxia,Once upon a Time in Lingjian Mountain,8.1,10,9.5,10,9.0,9.5
Anemone,Once upon a Time in Lingjian Mountain,8.1,8.0,7.0,10,10,5.5
GiGi JaZee Jae,Once upon a Time in Lingjian Mountain,8.1,7.0,6.0,10,7.0,4.0
ck_teens,Once upon a Time in Lingjian Mountain,8.1,7.5,7.0,8.5,8.5,6.0
Miro,Once upon a Time in Lingjian Mountain,8.1,9.5,9.0,9.0,10,8.0
Singularity,Once upon a Time in Lingjian Mountain,8.1,6.5,5.0,7.0,5.0,6.0
Eva,Once upon a Time in Lingjian Mountain,8.1,9.0,9.0,9.5,5.0,9.0
ReyvinHill,Once upon a Time in Lingjian Mountain,8.1,8.0,7.0,9.0,7.0,7.0
Alexandria Dior,Once upon a Time in Lingjian Mountain,8.1,10,10,10,10,10
FrancesAliyahManguerra,Once upon a Time in Lingjian Mountain,8.1,8.5,8.0,6.5,9.0,6.0
Bellesister,Once upon a Time in Lingjian Mountain,8.1,7.0,7.0,8.0,5.0,6.0
mkouhosei,Once upon a Time in Lingjian Mountain,8.1,10,10,10,10,10
Johnnirg,Once upon a Time in Lingjian Mountain,8.1,7.5,7.5,8.0,7.5,7.0
Maria Jean Shanks,Once upon a Time in Lingjian Mountain,8.1,8.0,8.0,8.0,10,2.0
Sara Lee,Once upon a Time in Lingjian Mountain,8.1,8.5,8.0,8.0,9.0,8.0
Ayesha Tahir,Once upon a Time in Lingjian Mountain,8.1,10,10,10,9.0,9.0
poindexter,Once upon a Time in Lingjian Mountain,8.1,8.0,8.5,9.0,7.5,8.0
Daichelle,Once upon a Time in Lingjian Mountain,8.1,8.0,8.0,7.0,8.0,7.5
wintersweet,Once upon a Time in Lingjian Mountain,8.1,7.5,7.0,8.0,7.5,7.0
Mema sam,Once upon a Time in Lingjian Mountain,8.1,6.5,8.0,7.0,6.0,6.0
PriscillaW,Once upon a Time in Lingjian Mountain,8.1,9.5,8.0,10,10,9.0
timotey,Once upon a Time in Lingjian Mountain,8.1,8.5,8.0,10,8.5,8.0
Mstwinser,Once upon a Time in Lingjian Mountain,8.1,8.5,8.5,9.0,9.0,8.0
PeachBae,Once upon a Time in Lingjian Mountain,8.1,8.5,9.0,9.0,7.5,7.5
Icelina Argent Silver,Once upon a Time in Lingjian Mountain,8.1,9.5,9.0,8.5,8.0,7.0
OSOUVERAINE,Once upon a Time in Lingjian Mountain,8.1,9.0,9.0,9.0,9.0,9.0
Yuze,Once upon a Time in Lingjian Mountain,8.1,7.5,6.5,7.0,4.0,7.5
dengyideng,Once upon a Time in Lingjian Mountain,8.1,9.0,9.0,9.0,8.0,10
Rainelogan21,Once upon a Time in Lingjian Mountain,8.1,9.0,9.0,10,8.0,8.0
ChineseDramaFan,Once upon a Time in Lingjian Mountain,8.1,7.5,7.0,7.5,7.5,6.0
Royani Abdul Hamid,Once upon a Time in Lingjian Mountain,8.1,8.5,8.5,8.5,7.0,8.0
Soliqua,Once upon a Time in Lingjian Mountain,8.1,9.5,9.5,10,7.0,9.0
Uma_shakti,Once upon a Time in Lingjian Mountain,8.1,10,9.0,10,10,10
Sammi,Once upon a Time in Lingjian Mountain,8.1,5.0,4.5,7.0,7.0,6.0
Tsukimoom,Once upon a Time in Lingjian Mountain,8.1,10,10,10,10,10
Sarah,Once upon a Time in Lingjian Mountain,8.1,5.5,5.5,7.5,7.5,5.5
Califa99,Once upon a Time in Lingjian Mountain,8.1,9.0,8.0,8.5,10,8.0
Larissa Hans,Once upon a Time in Lingjian Mountain,8.1,10,10,10,10,10
WandereR,Psych-Hunter,8.1,8.5,9.0,9.0,8.5,8.0
marije,Psych-Hunter,8.1,9.5,9.5,9.0,9.5,8.5
Mar Vera,Psych-Hunter,8.1,10,9.5,10,10,9.5
Macha,Psych-Hunter,8.1,10,10,10,10,10
Kate,Psych-Hunter,8.1,6.0,5.0,8.0,7.5,3.5
Ivy Smith,Psych-Hunter,8.1,10,9.5,10,9.5,9.0
Melanie,Psych-Hunter,8.1,8.5,9.0,9.0,8.0,7.5
labcat,Psych-Hunter,8.1,8.5,8.5,8.0,8.0,9.0
BernadetteObrien,Psych-Hunter,8.1,10,10,10,10,9.5
Ranter,Psych-Hunter,8.1,7.5,6.5,7.0,7.5,4.0
Maiki25512551,Psych-Hunter,8.1,8.0,8.5,9.5,8.5,7.0
Khena,Psych-Hunter,8.1,9.0,9.5,10,8.5,9.0
LadybugSlayer,Psych-Hunter,8.1,8.0,8.0,10,9.0,8.0
conruoinho,Psych-Hunter,8.1,8.0,8.0,9.0,10,5.0
merememory,Psych-Hunter,8.1,9.5,10,10,9.0,9.0
timotey,Psych-Hunter,8.1,9.0,10,10,5.5,8.0
dramaholic101,Psych-Hunter,8.1,9.0,9.0,9.0,8.0,8.0
RedHairedNerd,Psych-Hunter,8.1,10,10,9.0,10,10
seasofflames,Psych-Hunter,8.1,4.5,3.0,8.0,8.0,1.0
PriscillaW,Psych-Hunter,8.1,9.5,9.0,9.0,10,9.5
iduyhaw,Psych-Hunter,8.1,8.0,7.0,9.5,10,7.0
heart-ereki,Nigeru wa Haji da ga Yaku ni Tatsu,8.1,10,10,10,10,10
Grace,Nigeru wa Haji da ga Yaku ni Tatsu,8.1,9.5,9.0,9.5,9.0,10
Rin,Nigeru wa Haji da ga Yaku ni Tatsu,8.1,10,10,10,10,10
SoultoSeoul,Nigeru wa Haji da ga Yaku ni Tatsu,8.1,10,10,10,10,9.5
RouteVenus,Nigeru wa Haji da ga Yaku ni Tatsu,8.1,7.5,7.5,8.0,7.5,6.0
arisu pyon,Nigeru wa Haji da ga Yaku ni Tatsu,8.1,6.5,6.5,7.0,7.5,1.0
Mica,Nigeru wa Haji da ga Yaku ni Tatsu,8.1,9.0,10,10,8.0,8.5
Baechan,Nigeru wa Haji da ga Yaku ni Tatsu,8.1,9.5,9.5,9.5,9.0,9.5
Sara,Nigeru wa Haji da ga Yaku ni Tatsu,8.1,9.5,9.0,10,10,9.0
YueofBlueGables,Nigeru wa Haji da ga Yaku ni Tatsu,8.1,10,10,10,10,10
DramaHeroine,Nigeru wa Haji da ga Yaku ni Tatsu,8.1,10,10,10,10,10
Lady Unagi,Nigeru wa Haji da ga Yaku ni Tatsu,8.1,7.5,7.5,8.5,7.0,6.0
potatomodachi_123,Nigeru wa Haji da ga Yaku ni Tatsu,8.1,9.0,9.5,9.0,10,8.0
whizguy,Nigeru wa Haji da ga Yaku ni Tatsu,8.1,10,10,10,10,10
Yumebreaker,Nigeru wa Haji da ga Yaku ni Tatsu,8.1,9.5,9.5,9.5,10,9.5
Jay noona,Nigeru wa Haji da ga Yaku ni Tatsu,8.1,8.5,8.5,10,5.0,10
Shiro,Nigeru wa Haji da ga Yaku ni Tatsu,8.1,7.5,7.5,8.0,8.0,2.0
Dandelion,Nigeru wa Haji da ga Yaku ni Tatsu,8.1,9.5,10,10,10,9.5
lils,Nigeru wa Haji da ga Yaku ni Tatsu,8.1,8.5,8.5,8.5,8.5,8.0
PHope,Nigeru wa Haji da ga Yaku ni Tatsu,8.1,8.0,8.0,8.0,5.0,7.0
EbimoAgbeotu,Nigeru wa Haji da ga Yaku ni Tatsu,8.1,7.5,9.0,9.5,10,6.0
Terrica18,Nigeru wa Haji da ga Yaku ni Tatsu,8.1,6.5,6.5,7.0,8.0,1.5
Zogitt,Nigeru wa Haji da ga Yaku ni Tatsu,8.1,8.5,8.5,8.5,8.0,8.5
91jane,Nigeru wa Haji da ga Yaku ni Tatsu,8.1,10,10,10,10,10
teabeapea,Nigeru wa Haji da ga Yaku ni Tatsu,8.1,8.0,7.0,8.0,8.0,6.0
ltspada,Nigeru wa Haji da ga Yaku ni Tatsu,8.1,9.5,9.0,9.0,10,9.0
ColourMePurple,Nigeru wa Haji da ga Yaku ni Tatsu,8.1,7.0,7.0,9.5,8.0,5.5
Tokotoko6,Nigeru wa Haji da ga Yaku ni Tatsu,8.1,10,8.0,10,10,10
Meltzu,Nigeru wa Haji da ga Yaku ni Tatsu,8.1,8.0,7.0,8.5,8.5,5.0
arashinta,Nigeru wa Haji da ga Yaku ni Tatsu,8.1,8.0,8.5,8.5,7.5,8.0
Fahua Yaro,Nigeru wa Haji da ga Yaku ni Tatsu,8.1,10,10,10,10,10
Tyun,Nigeru wa Haji da ga Yaku ni Tatsu,8.1,8.0,5.0,9.5,9.5,4.0
Maja,Nigeru wa Haji da ga Yaku ni Tatsu,8.1,10,10,9.5,10,9.5
